stream_m3s,day,month,year,date,streamflow
15.4609728,1,1,1948,1948-01-01,0.07233752016722082
19.397008,2,1,1948,1948-01-02,0.09075311596070744
15.291072,3,1,1948,1948-01-03,0.07154260236318542
16.706912,4,1,1948,1948-01-04,0.0781669173968137
23.078192,5,1,1948,1948-01-05,0.10797633504814097
20.52968,6,1,1948,1948-01-06,0.09605256798761005
24.5506656,7,1,1948,1948-01-07,0.11486562268311439
22.9649248,8,1,1948,1948-01-08,0.1074463898454507
20.6429472,9,1,1948,1948-01-09,0.09658251319030031
20.2181952,10,1,1948,1948-01-10,0.09459521868021184
16.5370112,11,1,1948,1948-01-11,0.07737199959277831
24.1825472,12,1,1948,1948-01-12,0.11314330077437101
20.5013632,13,1,1948,1948-01-13,0.0959200816869375
24.5223488,14,1,1948,1948-01-14,0.1147331363824418
24.2674976,15,1,1948,1948-01-15,0.1135407596763887
20.4447296,16,1,1948,1948-01-16,0.09565510908559235
21.209283199999998,17,1,1948,1948-01-17,0.09923223920375163
19.4819584,18,1,1948,1948-01-18,0.09115057486272514
25.48512,19,1,1948,1948-01-19,0.11923767060530904
22.7667072,20,1,1948,1948-01-20,0.10651898574074274
22.5401728,21,1,1948,1948-01-21,0.10545909533536223
24.3241312,22,1,1948,1948-01-22,0.11380573227773387
23.502944,23,1,1948,1948-01-23,0.10996362955822944
19.255424,24,1,1948,1948-01-24,0.09009068445734462
16.99008,25,1,1948,1948-01-25,0.07949178040353935
28.3168,26,1,1948,1948-01-26,0.13248630067256562
26.90096,27,1,1948,1948-01-27,0.12586198563893733
26.051455999999998,28,1,1948,1948-01-28,0.12188739661876034
26.702742399999998,29,1,1948,1948-01-29,0.12493458153422936
20.5863136,30,1,1948,1948-01-30,0.0963175405889552
18.40592,31,1,1948,1948-01-31,0.08611609543716764
16.99008,1,2,1948,1948-02-01,0.07949178040353935
26.5328416,2,2,1948,1948-02-02,0.12413966373019397
22.4552224,3,2,1948,1948-02-03,0.10506163643334453
22.65344,4,2,1948,1948-02-04,0.1059890405380525
25.060368,5,2,1948,1948-02-05,0.11725037609522057
16.5370112,6,2,1948,1948-02-06,0.07737199959277831
14.299984,7,2,1948,1948-02-07,0.06690558183964564
13.5354304,8,2,1948,1948-02-08,0.06332845172148635
25.768288,9,2,1948,1948-02-09,0.1205625336120347
19.538592,10,2,1948,1948-02-10,0.09141554746407027
21.2376,11,2,1948,1948-02-11,0.09936472550442421
23.3896768,12,2,1948,1948-02-12,0.1094336843555392
15.8007744,13,2,1948,1948-02-13,0.07392735577529161
20.3597792,14,2,1948,1948-02-14,0.09525765018357467
36.81184,15,2,1948,1948-02-15,0.17223219087433528
46.72272,16,2,1948,1948-02-16,0.21860239610973325
50.687072,17,2,1948,1948-02-17,0.23715047820389243
54.934592,18,2,1948,1948-02-18,0.2570234233047773
63.995968,19,2,1948,1948-02-19,0.29941903951999826
82.401888,20,2,1948,1948-02-20,0.38553513495716596
92.595936,21,2,1948,1948-02-21,0.4332302031992895
79.853376,22,2,1948,1948-02-22,0.37361136789663496
72.20784,23,2,1948,1948-02-23,0.33784006671504235
61.730624,24,2,1948,1948-02-24,0.28882013546619306
56.067264,25,2,1948,1948-02-25,0.26232287533167986
52.669247999999996,26,2,1948,1948-02-26,0.246424519250972
49.271232,27,2,1948,1948-02-27,0.23052616317026414
50.403904,28,2,1948,1948-02-28,0.23582561519716674
43.324704,29,2,1948,1948-02-29,0.20270404002902537
