stream_m3s,day,month,year,date,streamflow
4.24752,1,1,1948,1948-01-01,0.05024586215394725
5.946528,2,1,1948,1948-01-02,0.07034420701552617
6.229696,3,1,1948,1948-01-03,0.07369393115912265
4.530688,4,1,1948,1948-01-04,0.05359558629754374
7.362368,5,1,1948,1948-01-05,0.08709282773350858
7.0792,6,1,1948,1948-01-06,0.0837431035899121
6.229696,7,1,1948,1948-01-07,0.07369393115912265
6.229696,8,1,1948,1948-01-08,0.07369393115912265
6.229696,9,1,1948,1948-01-09,0.07369393115912265
6.088112,10,1,1948,1948-01-10,0.0720190690873244
4.530688,11,1,1948,1948-01-11,0.05359558629754374
5.66336,12,1,1948,1948-01-12,0.06699448287192968
6.5128639999999995,13,1,1948,1948-01-13,0.07704365530271913
6.088112,14,1,1948,1948-01-14,0.0720190690873244
5.097024,15,1,1948,1948-01-15,0.06029503458473672
5.097024,16,1,1948,1948-01-16,0.06029503458473672
5.380192,17,1,1948,1948-01-17,0.0636447587283332
5.238608,18,1,1948,1948-01-18,0.06196989665653496
3.398016,19,1,1948,1948-01-19,0.040196689723157805
5.804944,20,1,1948,1948-01-20,0.06866934494372792
5.946528,21,1,1948,1948-01-21,0.07034420701552617
5.804944,22,1,1948,1948-01-22,0.06866934494372792
5.380192,23,1,1948,1948-01-23,0.0636447587283332
4.389104,24,1,1948,1948-01-24,0.0519207242257455
3.822768,25,1,1948,1948-01-25,0.04522127593855253
5.380192,26,1,1948,1948-01-26,0.0636447587283332
6.37128,27,1,1948,1948-01-27,0.07536879323092088
5.66336,28,1,1948,1948-01-28,0.06699448287192968
4.6722719999999995,29,1,1948,1948-01-29,0.05527044836934198
4.6722719999999995,30,1,1948,1948-01-30,0.05527044836934198
4.105936,31,1,1948,1948-01-31,0.04857100008214901
4.24752,1,2,1948,1948-02-01,0.05024586215394725
3.964352,2,2,1948,1948-02-02,0.04689613801035077
4.24752,3,2,1948,1948-02-03,0.05024586215394725
5.380192,4,2,1948,1948-02-04,0.0636447587283332
5.238608,5,2,1948,1948-02-05,0.06196989665653496
5.380192,6,2,1948,1948-02-06,0.0636447587283332
4.95544,7,2,1948,1948-02-07,0.05862017251293847
4.95544,8,2,1948,1948-02-08,0.05862017251293847
5.380192,9,2,1948,1948-02-09,0.0636447587283332
5.804944,10,2,1948,1948-02-10,0.06866934494372792
5.66336,11,2,1948,1948-02-11,0.06699448287192968
5.521776,12,2,1948,1948-02-12,0.06531962080013144
5.804944,13,2,1948,1948-02-13,0.06866934494372792
5.946528,14,2,1948,1948-02-14,0.07034420701552617
7.0792,15,2,1948,1948-02-15,0.0837431035899121
6.8243488,16,2,1948,1948-02-16,0.08072835186067527
9.9675136,17,2,1948,1948-02-17,0.11791028985459624
12.9690944,18,2,1948,1948-02-18,0.15341736577671897
14.583152,19,2,1948,1948-02-19,0.17251079339521894
17.556416,20,2,1948,1948-02-20,0.207682896902982
18.0094848,21,2,1948,1948-02-21,0.21304245553273637
13.5354304,22,2,1948,1948-02-22,0.16011681406391193
12.459392,23,2,1948,1948-02-23,0.1473878623182453
11.043552,24,2,1948,1948-02-24,0.13063924160026288
10.6471168,25,2,1948,1948-02-25,0.1259496277992278
9.8542464,26,2,1948,1948-02-26,0.11657040019715763
9.627712,27,2,1948,1948-02-27,0.11389062088228045
10.137414399999999,28,2,1948,1948-02-28,0.11992012434075411
8.636624,29,2,1948,1948-02-29,0.10216658637969275
8.211872,1,3,1948,1948-03-01,0.09714200016429803
8.3817728,2,3,1948,1948-03-02,0.09915183465045592
8.4100896,3,3,1948,1948-03-03,0.09948680706481557
8.4100896,4,3,1948,1948-03-04,0.09948680706481557
7.2491008,5,3,1948,1948-03-05,0.08575293807606998
7.1075168,6,3,1948,1948-03-06,0.08407807600427175
8.49504,7,3,1948,1948-03-07,0.1004917243078945
6.7393984,8,3,1948,1948-03-08,0.07972343461759632
7.928704,9,3,1948,1948-03-09,0.09379227602070155
7.78712,10,3,1948,1948-03-10,0.09211741394890331
9.1180096,11,3,1948,1948-03-11,0.10786111742380679
8.551673599999999,12,3,1948,1948-03-12,0.10116166913661381
8.919792,13,3,1948,1948-03-13,0.10551631052328923
6.2863296,14,3,1948,1948-03-14,0.07436387598784194
6.4279136,15,3,1948,1948-03-15,0.07603873805964019
18.2360192,16,3,1948,1948-03-16,0.21572223484761358
55.500928,17,3,1948,1948-03-17,0.656545932144911
57.766272,18,3,1948,1948-03-18,0.6833437252936827
52.38608,19,3,1948,1948-03-19,0.6196989665653495
66.827648,20,3,1948,1948-03-20,0.7905348978887702
