stream_m3s,day,month,year,date,streamflow
7.928704,1,1,1948,1948-01-01,0.05186200407301138
7.645536,2,1,1948,1948-01-02,0.0500097896418324
7.928704,3,1,1948,1948-01-03,0.05186200407301138
7.645536,4,1,1948,1948-01-04,0.0500097896418324
7.645536,5,1,1948,1948-01-05,0.0500097896418324
7.645536,6,1,1948,1948-01-06,0.0500097896418324
7.362368,7,1,1948,1948-01-07,0.04815757521065342
7.0792,8,1,1948,1948-01-08,0.04630536077947445
7.645536,9,1,1948,1948-01-09,0.0500097896418324
7.928704,10,1,1948,1948-01-10,0.05186200407301138
6.088112,11,1,1948,1948-01-11,0.03982261027034802
7.0792,12,1,1948,1948-01-12,0.04630536077947445
7.928704,13,1,1948,1948-01-13,0.05186200407301138
7.362368,14,1,1948,1948-01-14,0.04815757521065342
6.088112,15,1,1948,1948-01-15,0.03982261027034802
5.946528,16,1,1948,1948-01-16,0.03889650305475854
6.796032,17,1,1948,1948-01-17,0.04445314634829547
6.937616,18,1,1948,1948-01-18,0.045379253563884954
5.946528,19,1,1948,1948-01-19,0.03889650305475854
6.37128,20,1,1948,1948-01-20,0.041674824701527
6.796032,21,1,1948,1948-01-21,0.04445314634829547
7.0792,22,1,1948,1948-01-22,0.04630536077947445
6.6544479999999995,23,1,1948,1948-01-23,0.043527039132705975
5.66336,24,1,1948,1948-01-24,0.03704428862357956
6.37128,25,1,1948,1948-01-25,0.041674824701527
6.796032,26,1,1948,1948-01-26,0.04445314634829547
6.796032,27,1,1948,1948-01-27,0.04445314634829547
6.37128,28,1,1948,1948-01-28,0.041674824701527
6.229696,29,1,1948,1948-01-29,0.04074871748593751
6.088112,30,1,1948,1948-01-30,0.03982261027034802
5.946528,31,1,1948,1948-01-31,0.03889650305475854
5.946528,1,2,1948,1948-02-01,0.03889650305475854
6.229696,2,2,1948,1948-02-02,0.04074871748593751
6.229696,3,2,1948,1948-02-03,0.04074871748593751
5.946528,4,2,1948,1948-02-04,0.03889650305475854
5.804944,5,2,1948,1948-02-05,0.037970395839169044
5.946528,6,2,1948,1948-02-06,0.03889650305475854
5.946528,7,2,1948,1948-02-07,0.03889650305475854
5.66336,8,2,1948,1948-02-08,0.03704428862357956
5.380192,9,2,1948,1948-02-09,0.03519207419240058
5.097024,10,2,1948,1948-02-10,0.0333398597612216
5.380192,11,2,1948,1948-02-11,0.03519207419240058
5.66336,12,2,1948,1948-02-12,0.03704428862357956
6.229696,13,2,1948,1948-02-13,0.04074871748593751
15.291072,14,2,1948,1948-02-14,0.1000195792836648
28.3168,15,2,1948,1948-02-15,0.1852214431178978
35.396,16,2,1948,1948-02-16,0.23152680389737224
38.22768,17,2,1948,1948-02-17,0.250048948209162
43.89104,18,2,1948,1948-02-18,0.2870932368327415
39.64352,19,2,1948,1948-02-19,0.2593100203650569
59.46528,20,2,1948,1948-02-20,0.38896503054758536
49.5544,21,2,1948,1948-02-21,0.32413752545632113
38.22768,22,2,1948,1948-02-22,0.250048948209162
31.714816,23,2,1948,1948-02-23,0.2074480162920455
25.48512,24,2,1948,1948-02-24,0.166699298806108
24.918784,25,2,1948,1948-02-25,0.16299486994375004
22.087104,26,2,1948,1948-02-26,0.14447272563196026
19.255424,27,2,1948,1948-02-27,0.1259505813201705
17.556416,28,2,1948,1948-02-28,0.1148372947330966
16.99008,29,2,1948,1948-02-29,0.11113286587073865
15.291072,1,3,1948,1948-03-01,0.1000195792836648
15.857408,2,3,1948,1948-03-02,0.10372400814602276
15.857408,3,3,1948,1948-03-03,0.10372400814602276
15.291072,4,3,1948,1948-03-04,0.1000195792836648
11.32672,5,3,1948,1948-03-05,0.07408857724715912
