stream_m3s,day,month,year,date,streamflow
24.6922496,7,4,1948,1948-04-07,0.5419148459256249
19.4253248,8,4,1948,1948-04-08,0.42632291778093884
17.7829504,9,4,1948,1948-04-09,0.3902781229831335
14.1867168,10,4,1948,1948-04-10,0.31135245161552527
12.74256,11,4,1948,1948-04-11,0.2796578906726275
18.037801599999998,12,4,1948,1948-04-12,0.395871280796586
15.8857248,13,4,1948,1948-04-13,0.3486401703718756
15.2061216,14,4,1948,1948-04-14,0.3337250828693355
15.0928544,15,4,1948,1948-04-15,0.3312392349522455
13.6203808,16,4,1948,1948-04-16,0.2989232120300752
18.037801599999998,17,4,1948,1948-04-17,0.395871280796586
15.432656,18,4,1948,1948-04-18,0.3386967787035155
13.960182399999999,19,4,1948,1948-04-19,0.30638075578134527
13.960182399999999,20,4,1948,1948-04-20,0.30638075578134527
24.5223488,21,4,1948,1948-04-21,0.5381860740499899
19.7084928,22,4,1948,1948-04-22,0.4325375375736638
14.753052799999999,23,4,1948,1948-04-23,0.3237816912009754
12.8558272,24,4,1948,1948-04-24,0.28214373858971753
11.6948384,25,4,1948,1948-04-25,0.2566637974395448
10.477216,26,4,1948,1948-04-26,0.22994093233082705
9.4294944,27,4,1948,1948-04-27,0.20694683909774433
8.693257599999999,28,4,1948,1948-04-28,0.1907888276366592
8.353456,29,4,1948,1948-04-29,0.18333128388538913
10.3639488,30,4,1948,1948-04-30,0.22745508441373705
16.7635456,1,5,1948,1948-05-01,0.36790549172932335
12.0063232,2,5,1948,1948-05-02,0.2634998792115424
9.7976128,3,5,1948,1948-05-03,0.21502584482828693
8.778208,4,5,1948,1948-05-04,0.1926532135744767
8.0986048,5,5,1948,1948-05-05,0.1777381260719366
7.5889024,6,5,1948,1948-05-06,0.1665518104450315
7.5889024,7,5,1948,1948-05-07,0.1665518104450315
10.8736512,8,5,1948,1948-05-08,0.23864140004064213
10.0807808,9,5,1948,1948-05-09,0.22124046462101196
9.061376,10,5,1948,1948-05-10,0.19886783336720176
10.278998399999999,11,5,1948,1948-05-11,0.22559069847591948
9.6843456,12,5,1948,1948-05-12,0.2125399969111969
9.5144448,13,5,1948,1948-05-13,0.20881122503556188
12.2045408,14,5,1948,1948-05-14,0.2678501130664499
13.2805792,15,5,1948,1948-05-15,0.2914656682788051
12.9690944,16,5,1948,1948-05-16,0.28462958650680753
16.140576,17,5,1948,1948-05-17,0.35423332818532816
30.015808,18,5,1948,1948-05-18,0.6587496980288559
26.051455999999998,19,5,1948,1948-05-19,0.5717450209307051
16.140576,20,5,1948,1948-05-20,0.35423332818532816
14.1867168,21,5,1948,1948-05-21,0.31135245161552527
19.1987904,22,5,1948,1948-05-22,0.4213512219467588
20.6146304,23,5,1948,1948-05-23,0.45242432091038404
42.758368,24,5,1948,1948-05-24,0.9384075887014834
35.112832,25,5,1948,1948-05-25,0.7706128542979068
24.06928,26,5,1948,1948-05-26,0.5282426823816297
17.7829504,27,5,1948,1948-05-27,0.3902781229831335
14.9795872,28,5,1948,1948-05-28,0.32875338703515544
13.2805792,29,5,1948,1948-05-29,0.2914656682788051
12.1195904,30,5,1948,1948-05-30,0.2659857271286324
10.8736512,31,5,1948,1948-05-31,0.23864140004064213
9.7976128,1,6,1948,1948-06-01,0.21502584482828693
8.6083072,2,6,1948,1948-06-02,0.1889244416988417
7.8437536,3,6,1948,1948-06-03,0.17214496825848405
7.2774176,4,6,1948,1948-06-04,0.15971572867303394
10.5904832,5,6,1948,1948-06-05,0.23242678024791705
