stream_m3s,day,month,year,date,streamflow
3.2564319999999998,1,1,1948,1948-01-01,0.0535130807767655
3.398016,2,1,1948,1948-01-02,0.05583973646271184
3.398016,3,1,1948,1948-01-03,0.05583973646271184
3.398016,4,1,1948,1948-01-04,0.05583973646271184
3.398016,5,1,1948,1948-01-05,0.05583973646271184
3.2564319999999998,6,1,1948,1948-01-06,0.0535130807767655
3.2564319999999998,7,1,1948,1948-01-07,0.0535130807767655
3.2564319999999998,8,1,1948,1948-01-08,0.0535130807767655
3.398016,9,1,1948,1948-01-09,0.05583973646271184
3.5396,10,1,1948,1948-01-10,0.05816639214865816
3.2564319999999998,11,1,1948,1948-01-11,0.0535130807767655
3.114848,12,1,1948,1948-01-12,0.05118642509081918
3.398016,13,1,1948,1948-01-13,0.05583973646271184
3.398016,14,1,1948,1948-01-14,0.05583973646271184
3.114848,15,1,1948,1948-01-15,0.05118642509081918
2.973264,16,1,1948,1948-01-16,0.048859769404872855
3.114848,17,1,1948,1948-01-17,0.05118642509081918
2.973264,18,1,1948,1948-01-18,0.048859769404872855
2.83168,19,1,1948,1948-01-19,0.04653311371892653
2.973264,20,1,1948,1948-01-20,0.048859769404872855
3.114848,21,1,1948,1948-01-21,0.05118642509081918
2.973264,22,1,1948,1948-01-22,0.048859769404872855
2.83168,23,1,1948,1948-01-23,0.04653311371892653
2.6051456,24,1,1948,1948-01-24,0.04281046462141241
2.690096,25,1,1948,1948-01-25,0.044206458032980206
2.7750464,26,1,1948,1948-01-26,0.045602451444548
2.83168,27,1,1948,1948-01-27,0.04653311371892653
2.7467296,28,1,1948,1948-01-28,0.04513712030735873
2.6051456,29,1,1948,1948-01-29,0.04281046462141241
2.4918784,30,1,1948,1948-01-30,0.04094914007265534
2.3786112,31,1,1948,1948-01-31,0.03908781552389828
2.4352448,1,2,1948,1948-02-01,0.04001847779827681
2.4918784,2,2,1948,1948-02-02,0.04094914007265534
2.548512,3,2,1948,1948-02-03,0.041879802347033875
2.548512,4,2,1948,1948-02-04,0.041879802347033875
2.548512,5,2,1948,1948-02-05,0.041879802347033875
2.548512,6,2,1948,1948-02-06,0.041879802347033875
2.548512,7,2,1948,1948-02-07,0.041879802347033875
2.548512,8,2,1948,1948-02-08,0.041879802347033875
2.4635616,9,2,1948,1948-02-09,0.040483808935466076
2.3219776,10,2,1948,1948-02-10,0.03815715324951975
2.3786112,11,2,1948,1948-02-11,0.03908781552389828
2.548512,12,2,1948,1948-02-12,0.041879802347033875
2.690096,13,2,1948,1948-02-13,0.044206458032980206
5.66336,14,2,1948,1948-02-14,0.09306622743785306
6.796032,15,2,1948,1948-02-15,0.11167947292542368
7.0792,16,2,1948,1948-02-16,0.11633278429731632
8.49504,17,2,1948,1948-02-17,0.13959934115677958
11.893056,18,2,1948,1948-02-18,0.19543907761949142
13.592064,19,2,1948,1948-02-19,0.22335894585084737
20.104928,20,2,1948,1948-02-20,0.3303851074043784
20.104928,21,2,1948,1948-02-21,0.3303851074043784
18.264336,22,2,1948,1948-02-22,0.3001385834870761
15.9140416,23,2,1948,1948-02-23,0.26151609910036705
14.4132512,24,2,1948,1948-02-24,0.236853548829336
13.5071136,25,2,1948,1948-02-25,0.22196295243927955
13.5071136,26,2,1948,1948-02-26,0.22196295243927955
12.516025599999999,27,2,1948,1948-02-27,0.20567636263765524
12.9974112,28,2,1948,1948-02-28,0.21358699196987274
12.2045408,29,2,1948,1948-02-29,0.20055772012857334
9.91088,1,3,1948,1948-03-01,0.16286589801624285
10.3639488,2,3,1948,1948-03-02,0.17031119621127108
10.194048,3,3,1948,1948-03-03,0.1675192093881355
9.8259296,4,3,1948,1948-03-04,0.16146990460467506
7.220784,5,3,1948,1948-03-05,0.11865943998326264
8.1552384,6,3,1948,1948-03-06,0.1340153675105084
8.9764256,7,3,1948,1948-03-07,0.1475099704889971
8.8065248,8,3,1948,1948-03-08,0.1447179836658615
8.4667232,9,3,1948,1948-03-09,0.1391340100195903
8.8065248,10,3,1948,1948-03-10,0.1447179836658615
8.8065248,11,3,1948,1948-03-11,0.1447179836658615
7.9853376,12,3,1948,1948-03-12,0.1312233806873728
8.1552384,13,3,1948,1948-03-13,0.1340153675105084
7.6738528,14,3,1948,1948-03-14,0.1261047381782909
7.8437536,15,3,1948,1948-03-15,0.1288967250014265
27.4106624,16,3,1948,1948-03-16,0.45044054079920876
79.853376,17,3,1948,1948-03-17,1.312233806873728
69.659328,18,3,1948,1948-03-18,1.1447145974855926
57.483104,19,3,1948,1948-03-19,0.9446222084942084
77.304864,20,3,1948,1948-03-20,1.2703540045266941
85.233568,21,3,1948,1948-03-21,1.4006467229396884
85.233568,22,3,1948,1948-03-22,1.4006467229396884
79.853376,23,3,1948,1948-03-23,1.312233806873728
58.04944,24,3,1948,1948-03-24,0.9539288312379938
43.607872,25,3,1948,1948-03-25,0.7166099512714685
34.546496,26,3,1948,1948-03-26,0.5677039873709037
30.298976,27,3,1948,1948-03-27,0.49790431679251385
32.847488,28,3,1948,1948-03-28,0.5397841191395476
26.334623999999998,29,3,1948,1948-03-29,0.43275795758601665
22.795023999999998,30,3,1948,1948-03-30,0.3745915654373585
19.538592,31,3,1948,1948-03-31,0.321078484660593
22.087104,1,4,1948,1948-04-01,0.3629582870076269
27.750464,2,4,1948,1948-04-02,0.4560245144454799
27.042544,3,4,1948,1948-04-03,0.4443912360157483
22.087104,4,4,1948,1948-04-04,0.3629582870076269
19.538592,5,4,1948,1948-04-05,0.321078484660593
18.264336,6,4,1948,1948-04-06,0.3001385834870761
19.538592,7,4,1948,1948-04-07,0.321078484660593
16.5370112,8,4,1948,1948-04-08,0.2717533841185309
15.404339199999999,9,4,1948,1948-04-09,0.2531401386309603
13.592064,10,4,1948,1948-04-10,0.22335894585084737
12.600976,11,4,1948,1948-04-11,0.20707235604922303
19.538592,12,4,1948,1948-04-12,0.321078484660593
18.9156224,13,4,1948,1948-04-13,0.31084119964242923
24.3241312,14,4,1948,1948-04-14,0.39971944684557886
37.944511999999996,15,4,1948,1948-04-15,0.6235437238336153
29.449472,16,4,1948,1948-04-16,0.4839443826768359
24.918784,17,4,1948,1948-04-17,0.40949140072655343
20.812848,18,4,1948,1948-04-18,0.34201838583410993
18.264336,19,4,1948,1948-04-19,0.3001385834870761
16.99008,20,4,1948,1948-04-20,0.27919868231355915
16.99008,21,4,1948,1948-04-21,0.27919868231355915
15.7441408,22,4,1948,1948-04-22,0.25872411227723147
13.7053312,23,4,1948,1948-04-23,0.22522027039960438
12.600976,24,4,1948,1948-04-24,0.20707235604922303
13.308895999999999,25,4,1948,1948-04-25,0.21870563447895464
12.516025599999999,26,4,1948,1948-04-26,0.20567636263765524
10.930284799999999,27,4,1948,1948-04-27,0.17961781895505638
9.8825632,28,4,1948,1948-04-28,0.16240056687905358
9.1463264,29,4,1948,1948-04-29,0.15030195731213267
8.636624,30,4,1948,1948-04-30,0.14192599684272592
9.344543999999999,1,5,1948,1948-05-01,0.15355927527245752
8.636624,2,5,1948,1948-05-02,0.14192599684272592
7.8437536,3,5,1948,1948-05-03,0.1288967250014265
7.3057343999999995,4,5,1948,1948-05-04,0.12005543339483044
7.0792,5,5,1948,1948-05-05,0.11633278429731632
7.3057343999999995,6,5,1948,1948-05-06,0.12005543339483044
7.8437536,7,5,1948,1948-05-07,0.1288967250014265
10.8170176,8,5,1948,1948-05-08,0.17775649440629931
9.5993952,9,5,1948,1948-05-09,0.15774725550716093
8.3817728,10,5,1948,1948-05-10,0.1377380166080225
7.6738528,11,5,1948,1948-05-11,0.1261047381782909
7.4473184,12,5,1948,1948-05-12,0.12238208908077677
9.061376,13,5,1948,1948-05-13,0.14890596390056487
11.893056,14,5,1948,1948-05-14,0.19543907761949142
11.8081056,15,5,1948,1948-05-15,0.1940430842079236
11.4966208,16,5,1948,1948-05-16,0.1889244416988417
14.9512704,17,5,1948,1948-05-17,0.24569484043593204
16.5370112,18,5,1948,1948-05-18,0.2717533841185309
16.99008,19,5,1948,1948-05-19,0.27919868231355915
13.818598399999999,20,5,1948,1948-05-20,0.22708159494836144
12.600976,21,5,1948,1948-05-21,0.20707235604922303
12.6859264,22,5,1948,1948-05-22,0.20846834946079085
11.4966208,23,5,1948,1948-05-23,0.1889244416988417
12.0063232,24,5,1948,1948-05-24,0.19730040216824848
13.818598399999999,25,5,1948,1948-05-25,0.22708159494836144
16.99008,26,5,1948,1948-05-26,0.27919868231355915
14.724736,27,5,1948,1948-05-27,0.24197219133841796
12.7991936,28,5,1948,1948-05-28,0.2103296740095479
11.32672,29,5,1948,1948-05-29,0.18613245487570612
14.8380032,30,5,1948,1948-05-30,0.24383351588717497
14.9512704,31,5,1948,1948-05-31,0.24569484043593204
13.308895999999999,1,6,1948,1948-06-01,0.21870563447895464
11.609888,2,6,1948,1948-06-02,0.19078576624759874
9.9675136,3,6,1948,1948-06-03,0.16379656029062137
8.8065248,4,6,1948,1948-06-04,0.1447179836658615
8.551673599999999,5,6,1948,1948-06-05,0.1405300034311581
9.5993952,6,6,1948,1948-06-06,0.15774725550716093
10.6188,7,6,1948,1948-06-07,0.17449917644597449
18.9156224,8,6,1948,1948-06-08,0.31084119964242923
15.291072,9,6,1948,1948-06-09,0.2512788140822032
14.9512704,10,6,1948,1948-06-10,0.24569484043593204
13.818598399999999,11,6,1948,1948-06-11,0.22708159494836144
12.1195904,12,6,1948,1948-06-12,0.19916172671700555
13.4787968,13,6,1948,1948-06-13,0.22149762130209028
14.2716672,14,6,1948,1948-06-14,0.2345268931433897
12.1195904,15,6,1948,1948-06-15,0.19916172671700555
10.8170176,16,6,1948,1948-06-16,0.17775649440629931
9.769296,17,6,1948,1948-06-17,0.1605392423302965
9.2312768,18,6,1948,1948-06-18,0.1516979507237005
11.723155199999999,19,6,1948,1948-06-19,0.1926470907963558
13.1956288,20,6,1948,1948-06-20,0.21684430993019763
10.2506816,21,6,1948,1948-06-21,0.16844987166251402
8.7215744,22,6,1948,1948-06-22,0.1433219902542937
10.8453344,23,6,1948,1948-06-23,0.17822182554348862
16.423744,24,6,1948,1948-06-24,0.2698920595697738
18.9156224,25,6,1948,1948-06-25,0.31084119964242923
15.6308736,26,6,1948,1948-06-26,0.2568627877284744
14.724736,27,6,1948,1948-06-27,0.24197219133841796
14.1584,28,6,1948,1948-06-28,0.23266556859463264
15.5176064,29,6,1948,1948-06-29,0.2550014631797174
12.2894912,30,6,1948,1948-06-30,0.20195371354014113
11.4116704,1,7,1948,1948-07-01,0.1875284482872739
10.2506816,2,7,1948,1948-07-02,0.16844987166251402
8.8065248,3,7,1948,1948-07-03,0.1447179836658615
7.9003872,4,7,1948,1948-07-04,0.129827387275805
6.9942496,5,7,1948,1948-07-05,0.11493679088574853
8.2401888,6,7,1948,1948-07-06,0.1354113609220762
14.2716672,7,7,1948,1948-07-07,0.2345268931433897
10.335632,8,7,1948,1948-07-08,0.16984586507408184
8.1552384,9,7,1948,1948-07-09,0.1340153675105084
6.8526656,10,7,1948,1948-07-10,0.11261013519980219
5.9182112,11,7,1948,1948-07-11,0.09725420767255644
5.238608,12,7,1948,1948-07-12,0.08608626038001407
5.4934592,13,7,1948,1948-07-13,0.09027424061471746
9.061376,14,7,1948,1948-07-14,0.14890596390056487
6.937616,15,7,1948,1948-07-15,0.11400612861136998
5.9182112,16,7,1948,1948-07-16,0.09725420767255644
5.1536576,17,7,1948,1948-07-17,0.08469026696844627
4.4457376,18,7,1948,1948-07-18,0.07305698853871466
5.6350432,19,7,1948,1948-07-19,0.09260089630066379
4.7572224,20,7,1948,1948-07-20,0.07817563104779655
3.9360352,21,7,1948,1948-07-21,0.06468102806930787
3.8794016,22,7,1948,1948-07-22,0.06375036579492935
3.7095008,23,7,1948,1948-07-23,0.06095837897179374
3.8794016,24,7,1948,1948-07-24,0.06375036579492935
3.5112832,25,7,1948,1948-07-25,0.057701061011468886
3.114848,26,7,1948,1948-07-26,0.05118642509081918
2.8033632,27,7,1948,1948-07-27,0.046067782581737264
2.8033632,28,7,1948,1948-07-28,0.046067782581737264
2.6334624,29,7,1948,1948-07-29,0.04327579575860167
2.3502944,30,7,1948,1948-07-30,0.03862248438670902
2.2087104,31,7,1948,1948-07-31,0.03629582870076269
2.0388096,1,8,1948,1948-08-01,0.0335038418776271
1.9255423999999999,2,8,1948,1948-08-02,0.03164251732887004
1.7839584,3,8,1948,1948-08-03,0.029315861642923713
1.7556416,4,8,1948,1948-08-04,0.028850530505734443
1.7556416,5,8,1948,1948-08-05,0.028850530505734443
2.8033632,6,8,1948,1948-08-06,0.046067782581737264
3.1714816,7,8,1948,1948-08-07,0.05211708736519771
2.6051456,8,8,1948,1948-08-08,0.04281046462141241
2.2087104,9,8,1948,1948-08-09,0.03629582870076269
1.8689088,10,8,1948,1948-08-10,0.030711855054491505
1.699008,11,8,1948,1948-08-11,0.02791986823135592
2.4352448,12,8,1948,1948-08-12,0.04001847779827681
4.0776192,13,8,1948,1948-08-13,0.0670076837552542
3.4546495999999998,14,8,1948,1948-08-14,0.05677039873709036
2.690096,15,8,1948,1948-08-15,0.044206458032980206
2.2936608,16,8,1948,1948-08-16,0.037691822112330485
1.9538592,17,8,1948,1948-08-17,0.0321078484660593
1.7556416,18,8,1948,1948-08-18,0.028850530505734443
1.5857408,19,8,1948,1948-08-19,0.026058543682598856
1.5291071999999999,20,8,1948,1948-08-20,0.025127881408220323
1.5857408,21,8,1948,1948-08-21,0.026058543682598856
1.5857408,22,8,1948,1948-08-22,0.026058543682598856
1.5007904,23,8,1948,1948-08-23,0.02466255027103106
1.4441568,24,8,1948,1948-08-24,0.023731887996652528
1.41584,25,8,1948,1948-08-25,0.023266556859463265
1.3592064,26,8,1948,1948-08-26,0.022335894585084733
1.1893056,27,8,1948,1948-08-27,0.01954390776194914
1.132672,28,8,1948,1948-08-28,0.01861324548757061
1.1043552,29,8,1948,1948-08-29,0.018147914350381347
1.0194048,30,8,1948,1948-08-30,0.01675192093881355
0.991088,31,8,1948,1948-08-31,0.016286589801624285
0.8778208,1,9,1948,1948-09-01,0.014425265252867222
0.849504,2,9,1948,1948-09-02,0.01395993411567796
0.8211872,3,9,1948,1948-09-03,0.013494602978488694
0.7928704,4,9,1948,1948-09-04,0.013029271841299428
0.7928704,5,9,1948,1948-09-05,0.013029271841299428
0.7645535999999999,6,9,1948,1948-09-06,0.012563940704110162
0.7362368,7,9,1948,1948-09-07,0.012098609566920897
0.7362368,8,9,1948,1948-09-08,0.012098609566920897
0.7362368,9,9,1948,1948-09-09,0.012098609566920897
0.7362368,10,9,1948,1948-09-10,0.012098609566920897
0.7362368,11,9,1948,1948-09-11,0.012098609566920897
0.7362368,12,9,1948,1948-09-12,0.012098609566920897
0.6796032,13,9,1948,1948-09-13,0.011167947292542366
0.6229696,14,9,1948,1948-09-14,0.010237285018163836
0.6229696,15,9,1948,1948-09-15,0.010237285018163836
0.5946528,16,9,1948,1948-09-16,0.00977195388097457
0.566336,17,9,1948,1948-09-17,0.009306622743785305
0.566336,18,9,1948,1948-09-18,0.009306622743785305
0.566336,19,9,1948,1948-09-19,0.009306622743785305
0.5946528,20,9,1948,1948-09-20,0.00977195388097457
0.5946528,21,9,1948,1948-09-21,0.00977195388097457
0.5946528,22,9,1948,1948-09-22,0.00977195388097457
0.566336,23,9,1948,1948-09-23,0.009306622743785305
0.566336,24,9,1948,1948-09-24,0.009306622743785305
0.566336,25,9,1948,1948-09-25,0.009306622743785305
0.5380192,26,9,1948,1948-09-26,0.00884129160659604
0.5380192,27,9,1948,1948-09-27,0.00884129160659604
0.5380192,28,9,1948,1948-09-28,0.00884129160659604
0.48138559999999997,29,9,1948,1948-09-29,0.00791062933221751
0.5097024,30,9,1948,1948-09-30,0.008375960469406776
0.5946528,1,10,1948,1948-10-01,0.00977195388097457
0.566336,2,10,1948,1948-10-02,0.009306622743785305
0.566336,3,10,1948,1948-10-03,0.009306622743785305
0.566336,4,10,1948,1948-10-04,0.009306622743785305
0.566336,5,10,1948,1948-10-05,0.009306622743785305
0.566336,6,10,1948,1948-10-06,0.009306622743785305
0.6229696,7,10,1948,1948-10-07,0.010237285018163836
0.7928704,8,10,1948,1948-10-08,0.013029271841299428
0.8211872,9,10,1948,1948-10-09,0.013494602978488694
